"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_001139459",500,617,1018,462,602,98,518,307,231,517,488,326
"NM_152609",895,944,1818,869,1038,185,908,507,411,941,857,517
"NR_015422",1,0,4,2,2,0,0,2,1,0,1,2
"NM_016002",382,690,862,457,984,143,720,606,234,526,830,480
"NM_001323342",1133,938,3776,1908,1507,323,1628,889,1148,1614,1297,1813
"NM_001323343",1115,929,3730,1876,1473,315,1613,860,1127,1580,1270,1775
"NR_136586",1141,942,3814,1916,1512,327,1639,896,1157,1637,1325,1828
"NM_015446",1092,891,3708,1861,1445,315,1600,845,1129,1554,1240,1783
"NM_020394",38,37,81,66,38,8,136,26,37,81,74,55
"NM_001204221",11,20,45,30,27,5,21,18,11,41,40,11
"NR_037892",21,28,54,35,32,8,22,28,12,52,42,17
"NM_024804",66,106,233,81,110,38,119,99,47,81,115,78
"NR_147502",1,2,0,0,0,0,0,0,0,3,3,0
"NM_001243740",58,170,174,58,147,13,86,106,34,68,107,39
"NM_001297567",64,172,202,56,123,17,102,145,39,80,133,46
"NM_001297568",383,641,960,497,1017,152,557,609,263,485,876,431
"NM_001297569",307,531,866,409,816,117,466,466,213,404,679,363
"NM_003431",339,591,899,443,913,131,498,551,229,442,789,392
"NM_207401",0,1,1,0,0,0,2,0,0,1,1,1
"NM_001142572",65,97,229,78,94,36,117,90,47,76,105,75
"NR_037480",117,243,179,75,236,31,126,135,50,102,240,121
"NR_160309",0,0,0,0,0,0,0,0,0,0,0,1
"NM_032752",669,603,1331,645,609,272,812,440,350,747,541,560
"NM_173858",0,0,0,0,0,0,0,0,0,0,0,1
"NM_001329733",266,244,515,283,263,119,364,180,150,318,249,248
"NM_183395",2,3,3,0,1,0,0,1,0,7,1,0
"NM_001243133",2,4,3,1,1,0,0,1,0,7,1,0
"NM_004895",2,4,3,1,1,0,0,1,0,7,1,0
"NM_001079821",2,4,1,1,1,0,0,1,0,1,0,0
"NM_001127461",2,3,3,0,1,0,0,1,0,7,1,0
"NM_001127462",2,4,3,1,1,0,0,1,0,7,1,0
"NM_001004492",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001281853",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001281837",0,0,0,1,0,0,0,0,0,0,0,0
"NR_027309",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001281834",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001281835",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001281836",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001281838",0,0,0,1,0,0,0,0,0,0,0,0
"NM_145278",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001001915",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004698",0,0,0,0,0,0,1,0,0,0,0,0
"NM_198074",1,0,0,0,0,0,0,0,0,0,0,0
"NM_001001914",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001005487",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001005286",0,0,0,0,0,0,0,0,0,0,0,0
"NM_012353",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001959",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004732",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001966",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001005522",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001957",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001963",0,0,6,4,0,0,0,0,0,0,0,3
"NM_015431",0,0,1,0,0,0,0,1,0,0,1,1
"NM_001355235",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004491",0,0,1,1,0,0,0,0,0,0,0,0
"NR_002145",2,0,0,0,0,0,0,0,0,0,0,1
"NM_001258284",0,1,0,0,0,0,0,0,0,1,0,0
"NM_001004686",0,0,2,0,0,0,0,0,0,0,0,0
"NM_001004687",0,0,0,1,0,0,0,0,0,1,0,0
"NR_002141",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004689",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004690",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004688",0,0,0,0,0,0,0,0,0,0,0,0
"NM_017504",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004692",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004695",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001918",0,0,2,0,0,0,0,0,0,0,0,0
"NM_001004696",0,0,1,5,0,0,0,0,1,2,0,0
"NM_001004691",0,0,0,0,0,0,0,0,0,0,0,0
"NM_030904",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001355223",4,0,17,2,3,1,11,1,0,13,0,1
"NM_001004697",222,74,419,123,118,30,135,52,56,153,81,90
"NM_001005495",68,12,78,31,15,11,56,10,10,57,11,23
"NM_001005471",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004136",82,20,130,44,22,10,45,14,24,55,13,34
"NM_001004693",44,10,52,25,20,6,35,3,6,14,6,12
"NM_001013355",15,7,45,7,5,2,4,3,5,12,7,14
"NM_001001821",63,11,71,19,14,8,62,11,4,44,7,20
"NM_001004694",48,7,64,26,18,2,11,8,5,29,9,16
"NM_001001964",58,3,103,6,9,10,31,6,8,18,0,5
"NM_001001827",52,17,103,40,22,11,46,13,22,47,10,26
"NR_125950",2,2,0,0,0,0,0,0,0,0,0,0
"NM_001291283",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001004734",0,1,10,2,0,0,0,0,0,0,0,0
"NM_001085474",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001001824",5,1,20,0,2,1,7,1,1,16,0,1
"NR_036070",1,8,0,0,3,0,5,6,0,0,1,0
"NM_030645",237,496,569,197,635,109,234,310,116,292,517,266
"NM_001350072",272,204,643,269,308,143,254,182,159,359,238,277
"NM_001350073",337,250,754,316,379,164,308,216,191,429,305,362
"NM_001136036",304,228,702,290,355,153,270,205,178,394,266,311
