Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NR_146438,92,36,134,269,168,85,145,224,119,66,55,409,178,91,164,242
NR_024077,2380,1208,2738,6648,2685,1439,2129,3466,2026,1198,1336,9091,3068,1651,3269,7007
NR_024004,818,418,929,2121,834,436,672,1077,641,354,381,2197,798,427,814,2110
NR_024529,424,212,470,1167,422,220,307,526,350,195,224,2283,712,372,708,973
NR_148879,484,241,563,1222,618,323,431,685,472,267,289,1877,662,357,665,1624
NM_001330314,1513,745,1688,3149,1160,584,878,1242,1719,1020,940,7151,1725,903,1633,2130
NR_110174,987,463,1114,2398,1128,581,934,1739,1176,662,702,4595,1551,833,1570,3478
NR_102318,5789,2957,6253,9618,6442,3432,4844,6541,5417,3162,3215,17067,6875,3638,6905,8578
NM_005721,5925,3024,6410,9947,6591,3518,4960,6713,5557,3247,3305,17581,7067,3740,7072,8858
NR_148507,1076,540,1186,2235,1541,801,1069,1360,935,565,549,3371,1011,532,1025,2068
NR_148509,345,184,406,594,350,170,252,209,251,152,149,457,267,137,267,468
NM_001321910,208,94,218,1159,242,118,214,313,209,114,111,944,270,141,281,596
NR_132105,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1
NR_036580,0,0,0,7,0,0,0,0,6,3,2,5,0,0,0,6
NM_001178034,108,46,119,585,116,58,115,153,91,48,53,454,146,81,169,273
NM_006773,710,357,753,1399,673,354,475,661,659,373,370,2296,1015,520,966,1103
NR_158150,417,199,455,1034,352,186,272,557,428,257,254,1652,539,275,490,1201
NM_019044,1405,709,1529,3221,1384,710,1056,1786,1518,862,909,6470,1959,1028,1917,3547
NM_001321330,1436,716,1434,3507,1490,800,1073,1109,1468,819,873,5952,3735,1885,3534,2886
NM_016133,1465,733,1461,3634,1522,820,1107,1146,1502,843,899,6255,3796,1921,3596,2927
NR_144530,13,6,14,24,11,6,5,25,24,17,5,79,37,26,38,67
NR_110272,6,3,1,5,0,0,1,0,0,0,0,3,0,0,0,0
NM_001426,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NM_006770,25,8,33,57,40,22,37,69,23,16,13,28,62,38,55,57
NM_001008410,210,106,210,537,185,97,139,188,150,80,77,351,227,126,201,505
NR_046721,22,8,25,50,12,5,17,11,22,10,2,36,19,9,18,50
NM_001322332,498,253,529,1368,576,294,381,791,597,351,340,3478,836,443,876,1459
NM_001322331,498,253,529,1368,576,294,381,791,597,351,340,3478,836,443,876,1459
NM_001079862,291,159,303,719,341,159,243,400,368,200,196,1549,449,233,437,937
NM_001178017,281,154,289,692,326,154,230,384,351,188,173,1513,423,219,425,905
NM_183240,14,11,11,32,5,4,5,7,6,3,8,34,12,7,10,52
NM_002980,44,23,43,158,26,13,25,43,11,6,17,123,80,44,65,56
NR_147846,7,2,6,14,3,0,2,1,0,0,0,6,2,0,0,4
NR_073133,14,7,22,89,21,8,11,47,24,13,14,94,28,8,24,67
NM_001271049,17,7,26,103,23,8,17,47,24,13,14,95,31,9,26,69
NR_148341,236,115,256,662,301,155,249,553,274,161,143,1417,491,255,451,1187
NM_002830,1672,854,1875,3901,1712,935,1277,2401,1629,956,899,6047,2187,1189,2087,3171
NM_001330307,297,145,351,571,394,207,308,257,257,137,166,1071,337,182,302,569
NM_024121,221,119,247,466,212,112,158,311,219,130,123,962,231,125,226,626
NM_002881,840,429,943,1801,861,442,582,962,768,434,430,2948,1247,672,1238,1669
NM_002193,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0
NM_001371271,15,9,15,133,24,11,24,38,39,22,11,131,28,15,25,95
NM_014553,14,9,20,111,22,12,20,25,8,5,8,107,20,9,21,76
NM_001142273,7304,3684,7984,16844,7056,3652,5321,7994,6470,3767,3644,22042,9414,4988,9070,14228
NR_037857,917,464,1061,2248,1071,543,821,1181,916,538,536,3580,1512,793,1479,2099
NM_032390,470,214,562,803,508,231,375,581,408,228,269,1714,630,318,566,880
NM_001261401,279,144,344,656,330,167,236,323,295,159,158,1340,368,190,345,648
NR_147208,5,4,7,34,2,2,0,8,4,0,1,23,5,4,7,15
NR_147976,1,1,0,10,1,0,0,5,3,2,2,1,0,0,0,0
NM_001367498,121,57,145,634,163,91,128,177,114,64,64,473,163,81,133,263
NR_146970,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
NM_016815,1139,560,1203,2972,1565,840,1186,1717,1190,699,646,4627,1918,982,1792,3781
NM_002101,1138,560,1196,2963,1556,834,1176,1712,1188,698,643,4612,1916,981,1788,3767
NM_001322244,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,2
NM_001320642,266,144,257,672,176,87,119,200,227,137,118,908,559,300,548,781
NM_001320641,274,149,273,736,185,93,126,218,236,141,126,1015,598,320,590,813
NM_001367501,14,7,17,56,9,4,10,15,18,13,14,64,13,9,13,50
NM_001001665,7,4,8,40,4,1,5,10,10,6,9,32,9,7,9,33
NM_000122,1130,566,1274,2361,973,490,747,1249,1013,576,614,3690,1359,702,1253,2412
NM_006609,800,393,894,1641,838,424,607,892,826,455,473,3205,1111,580,1070,1143
NM_000312,16,8,15,67,8,3,8,13,11,5,6,94,12,6,12,35
NM_017969,1403,679,1517,2431,1307,684,995,1491,1310,740,840,4401,1731,913,1724,2440
NM_001080527,266,150,253,853,229,111,175,307,513,282,279,1731,270,149,272,1844
NR_132317,53,30,51,118,44,22,28,45,78,46,43,238,38,21,49,238
NM_001161403,18,11,18,67,3,1,1,8,18,13,8,154,18,8,21,127
NM_001161404,19,11,23,77,4,2,3,12,18,13,8,159,19,8,22,128
NM_001161415,2,2,4,8,3,1,1,0,1,1,1,18,2,1,2,1
NM_018383,3878,1932,4361,8287,4151,2100,3094,4451,4291,2535,2474,15085,5259,2752,5215,7728
NM_032740,155,68,189,626,209,112,151,304,191,125,118,1045,216,114,222,604
NM_001006622,1461,727,1678,3027,1398,712,1101,1560,1672,975,931,6077,2056,1064,2097,2532
NM_004805,559,254,648,1340,637,334,488,741,714,411,388,2900,788,432,747,1457
NM_001199140,584,300,653,1386,685,380,479,806,618,354,383,2340,847,442,790,1303
NM_001145928,1001,506,1045,2122,986,518,724,1254,994,566,591,3574,1264,690,1204,2266
NM_001330303,1006,509,1057,2177,994,522,736,1285,999,570,593,3639,1280,697,1225,2340
NR_027671,1564,780,1746,3237,1705,893,1259,1853,1636,966,922,4634,1983,1041,1888,2758
NM_004807,244,113,288,650,277,143,190,423,226,126,118,917,335,167,290,832
NR_110278,0,0,0,1,0,0,0,1,3,2,0,5,0,0,0,0
NR_122040,1,0,0,8,5,3,3,4,2,2,2,2,3,0,1,8
NR_149127,17,7,24,62,10,3,15,17,13,9,6,42,29,13,24,49
NR_026740,25,18,15,19,3,2,2,16,9,5,6,24,18,9,22,34
NR_110285,28,21,27,38,8,4,5,25,10,6,8,61,19,9,29,40
NR_036537,5,3,7,23,3,2,1,3,6,3,1,26,14,6,5,13
NM_032144,31,19,27,29,16,7,15,22,31,20,23,50,39,13,28,39
NR_026758,18,9,11,89,13,7,8,4,39,20,12,92,21,10,14,42
NM_001099771,129,70,167,141,111,60,74,168,55,34,22,98,114,53,118,104
NR_033903,17,10,31,119,13,6,19,38,21,13,10,85,22,9,19,101
NM_001258307,96,41,97,258,51,26,39,105,51,34,31,210,58,34,47,261
NM_001171083,1086,540,1086,2356,1209,608,899,1479,1066,583,539,3722,1192,629,1186,3375
NR_033231,1078,534,1081,2348,1204,607,897,1466,1056,579,537,3712,1180,623,1174,3360
NM_001330282,411,209,440,828,380,200,307,598,453,285,285,1650,433,241,418,1225
NM_207312,147,70,164,286,135,68,106,199,128,61,71,449,135,75,130,447
NR_104471,117,61,145,291,143,66,103,142,123,78,74,938,176,86,153,305
NM_001320305,198,87,234,360,186,95,127,245,265,149,114,868,192,100,193,444
NM_014369,522,234,554,1235,326,171,252,492,505,273,286,2754,533,292,498,1295
NR_046260,50,25,50,142,3,1,2,5,62,35,29,227,40,15,26,119
NR_103761,1,1,0,5,0,0,0,2,2,1,3,1,0,0,0,0
NM_001277406,211,119,232,161,167,90,88,158,110,73,57,100,153,83,144,90
NM_001079530,0,0,0,5,0,0,0,1,0,0,0,0,2,1,2,8
NR_033930,2,1,3,16,3,1,1,2,0,0,0,9,0,0,1,4
NM_001270421,0,0,0,6,0,0,0,3,0,0,0,0,2,1,2,10
NM_001277083,190,116,228,144,154,89,92,129,97,69,61,111,139,79,141,93
NR_023391,0,0,0,5,2,0,0,3,2,1,3,1,0,0,0,0
NM_001105193,0,0,0,3,1,1,0,3,0,0,0,28,2,1,3,2
NM_015320,292,130,279,831,285,148,187,404,289,167,153,1598,335,174,345,956
NM_001321746,1445,732,1540,3064,1523,794,1095,1552,1486,868,894,5932,1829,944,1814,2963
NM_001309452,1208,606,1228,2242,811,417,593,847,1070,640,621,3712,1427,724,1355,1709
NM_001083538,175,108,206,131,159,95,84,137,79,52,51,103,143,77,141,97
NR_030728,1,1,5,24,1,0,0,3,4,2,4,4,3,1,2,7
NM_001077637,35,21,23,42,26,11,23,31,24,12,11,48,38,15,22,49
NR_036499,5,5,2,9,1,1,1,0,4,0,2,8,1,0,6,0
NM_080386,213,104,230,447,151,77,114,287,179,92,86,717,197,92,185,579
NM_001085365,356,169,432,993,354,182,252,621,447,274,323,1853,533,286,503,1372
NR_026922,1396,708,1434,3038,1313,681,965,1909,1103,619,633,4290,1416,777,1454,4196
NM_001258305,164,67,191,487,81,46,57,184,100,65,61,510,113,58,113,530
NR_033885,450,229,503,414,264,150,240,735,202,110,111,280,296,149,268,407
NR_108087,366,189,422,334,209,105,170,589,111,60,78,143,176,91,154,354
NR_149016,117,66,158,488,137,79,95,293,168,98,105,777,208,109,165,516
NR_146485,13,8,20,75,22,7,13,20,8,3,4,57,10,4,7,33
NR_152415,66003,32572,62094,30511,82463,42498,53230,12865,53012,29935,25932,25717,71153,36728,59678,32669
NM_001355461,7,3,9,36,5,2,3,14,6,4,3,57,12,5,10,26
NM_001304449,4,1,8,25,5,2,3,10,6,4,3,45,8,4,8,25
NM_001508,49,22,59,267,52,23,54,71,29,18,8,240,55,32,61,169
NM_001077427,7,3,12,62,5,3,2,7,1,0,2,11,5,2,9,9
NM_207363,1484,760,1578,2364,261,138,218,312,168,94,106,778,543,266,483,742
NR_135572,21,12,25,50,1,1,0,0,3,3,1,18,11,6,6,6
NR_110294,27,13,36,64,6,3,6,1,0,0,0,5,5,2,6,6
NM_001371457,9038,4590,9954,14900,12990,6869,9611,11511,10986,6365,6280,29924,14014,7262,13706,14930
NM_030923,942,452,1030,1137,467,254,340,362,386,230,233,836,376,189,350,592
NM_001307983,92,48,96,177,87,42,82,92,60,38,30,210,96,52,96,135
NR_036549,193,95,206,327,175,97,146,231,170,100,107,623,266,154,255,360
NM_001320749,1406,675,1584,2872,1521,791,1172,1602,1345,762,810,4990,1954,1006,1940,2474
NM_001282883,204,100,242,542,314,144,232,300,218,121,132,837,279,137,268,342
NM_001321177,42,22,43,167,25,9,23,55,39,19,32,227,48,25,60,80
NM_001172435,2756,1392,2881,5751,2344,1251,1785,2370,2477,1419,1417,9597,3278,1708,3315,3544
NM_032143,1380,692,1424,2930,1469,724,1087,1541,1345,758,825,3947,1798,952,1854,2793
NM_001282799,3372,1697,3565,7097,4190,2221,3085,3877,3734,2159,2039,11690,5235,2765,5061,6079
NM_014607,1835,925,1964,3716,1626,852,1213,1923,1890,1087,995,6746,2411,1260,2339,3070
NM_002299,223,117,205,478,240,136,175,312,196,117,96,824,293,158,271,539
NM_005915,638,311,732,1483,792,425,657,826,742,421,498,3191,857,453,810,2086
NM_001293312,1808,888,2059,5474,2276,1183,1776,2406,2270,1301,1313,9508,3086,1623,2975,4178
NR_110200,212,99,253,579,344,162,249,345,280,165,147,986,451,235,457,701
NM_003467,338,167,336,655,655,346,432,641,271,158,183,1049,514,263,521,1628
NM_001316349,224,113,255,892,314,155,268,758,204,108,127,960,296,145,279,661
NR_120402,9,7,5,48,5,3,3,5,8,6,11,31,4,2,4,12
NM_001024075,7,3,15,56,8,5,5,16,9,3,6,39,17,9,20,9
NR_135526,5,1,7,27,6,5,1,12,12,7,5,18,4,3,3,16
NM_001001664,1957,977,2206,4421,2019,1067,1485,2191,1955,1165,1135,9383,2995,1595,2784,3552
NM_007226,19,7,12,85,16,10,13,17,8,4,4,79,17,11,20,54
NM_018557,279,140,299,1500,301,152,237,413,265,151,160,1440,370,183,315,694
NM_001032998,1496,720,1674,3301,1990,1057,1493,2163,1502,892,821,4454,2136,1095,1966,4064
NM_018460,9336,4752,10188,18336,10647,5773,7884,10728,10565,6165,6008,32894,12084,6452,11460,16281
NR_110237,129,66,144,426,137,77,93,136,110,63,81,564,200,102,167,346
NM_001354360,2566,1270,2939,6150,2314,1219,1731,2263,2612,1517,1602,8612,3554,1890,3408,4932
NM_001354356,2292,1124,2645,5481,2064,1093,1561,2027,2304,1348,1444,7488,3097,1638,3054,4354
NM_014795,732,348,787,2077,525,263,384,342,551,309,314,1613,1651,872,1659,2004
NR_110570,4,2,5,65,5,4,3,12,5,3,5,58,14,7,20,17
NR_033870,41,24,44,348,55,28,43,87,51,32,21,235,55,30,59,176
NR_026904,2,1,1,3,0,0,1,0,2,1,2,0,1,1,1,0
NM_001278579,417,221,487,928,548,295,443,633,480,282,276,1969,520,291,482,755
NM_002552,1171,565,1255,3042,1451,776,1178,1523,1226,722,754,5592,1634,875,1663,2303
NM_181742,1203,582,1289,3089,1470,788,1193,1562,1263,743,777,5671,1674,897,1719,2381
NM_018328,8805,4539,9930,18300,9928,5308,7530,9074,8074,4714,4627,26453,12725,6647,12569,14205
NM_015630,1985,998,2104,3830,1891,1011,1427,2104,1907,1093,1090,6278,2158,1190,2111,3179
NM_001317003,1179,583,1396,2405,910,485,623,315,507,297,342,1127,297,162,297,1098
NM_177964,1179,583,1396,2398,910,485,623,314,507,297,342,1122,297,162,297,1098
NM_001195685,23,14,21,138,34,20,39,36,12,6,13,182,33,15,24,76
NM_194317,20,12,21,138,34,20,39,36,12,6,13,182,33,15,24,76
NM_015702,648,319,722,1425,550,277,434,602,595,341,337,3090,762,407,734,858
NR_110240,188,92,195,510,183,98,133,225,123,72,82,559,232,111,200,444
NR_145421,33,13,38,148,48,23,44,39,22,11,18,144,39,23,31,87
NR_146972,6,2,7,20,3,2,0,3,3,3,2,5,2,1,3,13
NM_001254738,6,3,4,10,3,1,3,1,0,0,0,1,28,8,24,69
NR_110241,9,4,3,26,6,4,1,11,0,0,1,20,1,1,5,9
NR_110245,2,1,3,15,0,0,0,0,0,0,0,3,0,0,0,9
NM_198557,197,81,172,425,143,70,139,247,154,72,89,671,250,132,261,436
NM_004688,492,243,562,984,383,198,339,540,507,296,303,1758,665,355,643,966
NR_110248,48,24,59,177,71,39,53,127,28,18,18,240,70,34,69,118
NM_007115,44,21,49,163,68,37,46,122,23,15,13,194,67,32,68,95
NM_001177665,1849,929,2157,4130,2103,1152,1527,2111,1911,1067,1128,7651,2271,1222,2303,3562
NM_001164508,494,253,602,1334,702,360,529,790,556,327,297,1797,656,338,580,1047
NM_012097,911,461,1046,2037,904,494,635,1052,1122,658,679,4589,1368,701,1387,1576
NM_001145798,2767,1386,3064,6850,2073,1041,1624,2781,1612,881,911,9866,3563,1856,3559,4011
NM_005843,1179,594,1273,2625,944,493,747,1228,1033,587,644,5267,1549,805,1481,1731
NM_052905,2320,1209,2563,4768,2974,1547,2160,3903,1877,1082,1069,7303,3119,1585,3072,5801
NM_017892,2374,1176,2512,3899,2394,1224,1817,2557,2019,1137,1196,6926,2691,1377,2524,3385
NM_001354432,2387,1181,2528,3952,2423,1242,1840,2607,2044,1154,1204,7006,2749,1401,2590,3489
NR_146422,564,279,650,1390,679,383,488,866,668,385,388,2556,891,481,901,1466
NM_052917,86,42,122,426,101,60,90,105,77,48,42,436,106,62,92,255
NM_001301627,79,39,112,392,91,53,82,98,64,39,36,398,95,52,89,244
NR_161181,2,1,2,6,1,0,0,0,5,2,1,21,0,0,0,1
NM_001260508,44,21,62,170,35,13,28,43,27,14,16,111,57,29,40,62
NM_001260509,0,0,5,5,1,1,1,0,2,1,1,5,1,1,0,1
NR_110250,65,28,46,167,38,16,28,67,28,17,18,216,61,36,77,126
NM_006186,135,61,153,414,59,32,49,82,133,80,93,937,150,70,124,238
NR_147695,218,114,222,489,127,59,80,198,228,142,136,1157,309,163,286,441
NM_001083112,1499,733,1480,3006,1296,705,1006,1595,1497,862,859,5249,1772,939,1711,2383
NM_001329868,131,69,122,214,62,36,36,102,141,84,96,534,94,45,87,156
NM_001304344,133,61,141,153,85,54,92,75,105,59,63,310,119,64,127,111
NM_001009959,140,66,149,158,92,58,98,81,114,64,69,350,130,70,139,131
NM_004288,5591,2796,5999,13566,4141,2201,3189,5609,5236,3010,3170,29770,8796,4613,8692,11518
NM_001111032,17,8,33,66,29,13,15,18,12,6,7,116,28,14,33,50
NM_001111067,54,22,50,150,47,24,39,50,43,23,34,124,61,34,49,106
NM_001135098,26,14,32,149,37,19,24,43,21,9,23,160,35,18,30,49
NR_038850,21,10,34,88,25,14,22,29,27,15,19,50,21,10,26,31
NM_138803,147,75,169,459,174,86,141,194,143,82,71,420,201,97,188,306
NM_001304971,1038,499,1091,2005,1108,586,832,1294,1079,631,683,2684,1229,684,1177,2149
NM_003628,1111,537,1155,2183,1240,657,932,1401,1126,661,704,2988,1350,748,1291,2386
NR_135242,143,67,129,327,243,131,175,219,113,71,65,514,185,100,174,399
NM_001017920,7,4,6,9,1,1,1,7,3,2,3,39,4,0,5,8
NM_001350064,841,432,860,2808,3007,1595,2205,3254,1597,879,909,5864,1359,721,1323,4732
NR_146421,339,175,347,1158,1366,729,962,1503,673,369,385,2459,555,299,584,2080
NM_001330279,730,356,764,2040,1103,582,788,1198,1052,585,593,4749,1002,510,948,1564
NM_001289975,4429,2232,5043,9421,5234,2741,3981,4542,3876,2258,2299,15345,6081,3231,6048,6190
NR_110586,133,63,151,351,117,66,90,196,148,93,95,481,182,103,219,276
NM_001282806,3795,1927,3999,7179,3780,2014,2922,3919,3578,2025,2045,12879,4699,2478,4549,6127
NM_001282805,3990,2034,4235,7729,4014,2122,3112,4217,3765,2131,2151,13794,5018,2666,4832,6543
NM_001198760,14181,7201,15499,31975,13553,7066,10097,14246,12078,6891,6937,49443,17417,9078,16792,22812
NM_007366,84,42,76,310,91,59,52,81,62,38,50,352,116,67,88,190
NM_001282354,41,26,65,160,80,38,54,71,49,25,27,228,86,45,96,159
NM_001282355,41,26,65,160,80,38,54,71,49,25,27,228,86,45,96,159
NR_103775,12,6,6,15,6,4,5,9,1,1,0,17,4,4,6,10
NM_016836,64,29,88,290,49,26,41,94,47,31,30,280,101,57,92,237
NM_133484,5709,2934,6196,10221,5034,2720,3731,5394,4225,2425,2406,13619,5902,3127,5513,7806
NM_004180,7057,3613,7741,13172,6537,3549,4816,6857,5447,3151,3030,17800,7739,4145,7283,9758
NR_110593,1248,633,1483,3439,1343,705,925,1541,1272,779,668,4899,1786,979,1794,2887
NR_110164,142,79,188,422,109,47,74,132,209,123,116,883,239,135,250,335
NM_005805,1703,823,1822,3378,1864,966,1376,2047,1639,947,932,5702,2354,1250,2271,2936
NM_006593,4,3,6,6,1,0,0,2,0,0,0,5,2,1,2,3
NR_077058,202,96,237,296,185,87,137,195,175,99,93,618,265,154,275,294
NM_001178016,85,44,87,313,71,38,50,91,51,27,32,256,97,51,89,189
NM_001354445,85,44,87,313,71,38,50,91,51,27,32,256,97,51,89,189
NM_001935,113,51,95,187,90,50,64,41,75,43,42,362,94,49,119,155
NR_147697,10,5,8,23,6,2,6,5,3,2,0,17,7,2,11,18
NR_110255,5,4,13,37,6,4,1,15,6,2,2,57,12,5,11,27
NM_002054,0,0,0,7,0,0,0,2,0,0,0,1,0,0,0,9
NM_004460,20,14,16,43,18,6,11,10,12,4,3,42,23,13,9,32
NM_022168,1968,979,2194,5048,1605,839,1156,1949,1398,796,794,4425,2879,1514,2721,3343
NM_001330268,629,300,697,1670,723,406,560,755,587,335,349,1782,1079,592,1055,1364
NM_012198,145,71,150,399,239,139,189,205,195,116,123,606,228,129,244,270
NM_033272,118,39,132,505,172,91,142,188,131,75,64,508,165,85,182,332
NR_110258,1,0,0,27,6,4,11,5,10,5,2,21,4,3,5,16
NM_018086,10,7,13,77,19,9,14,10,13,8,4,32,16,8,11,48
NM_004490,79,38,96,139,74,41,51,32,74,38,56,160,90,49,70,83
NM_001365671,18,11,23,119,19,11,14,41,24,13,10,144,32,20,37,88
NR_110574,1,1,1,1,1,0,1,1,0,0,0,6,2,1,0,2
NM_001351537,5,1,5,24,7,2,8,11,0,0,0,34,2,1,7,10
NM_001081676,22,8,28,110,17,11,4,34,133,79,80,636,68,37,64,174
NM_001040142,22,9,11,116,19,14,12,37,2864,1550,66,261,27,14,30,60
NM_001172173,48,27,54,275,44,20,26,43,16,9,15,146,35,16,25,91
NM_004482,164,90,181,445,141,76,108,150,246,137,108,859,258,127,290,560
NR_045375,170,84,224,539,233,121,195,370,219,119,127,944,250,132,273,606
NM_024753,799,404,876,1600,786,414,547,923,780,434,460,3123,1038,558,955,1358
NR_038983,198,105,221,435,262,136,188,215,161,80,114,883,294,163,280,395
NR_110598,20,11,17,68,8,7,4,20,8,3,9,52,13,4,10,44
NM_001202435,19,10,22,139,26,15,20,29,18,6,13,89,18,6,23,50
NR_110260,43,25,57,218,43,27,22,68,38,20,22,186,42,18,60,119
NM_002977,36,23,45,154,48,31,24,56,190,101,64,200,34,16,57,102
NR_045628,13,8,11,55,17,8,26,14,9,5,7,76,6,3,4,19
NM_152381,100,49,99,411,143,77,107,144,73,38,68,484,115,60,112,226
NR_046665,0,0,0,13,0,0,0,1,1,0,0,16,1,0,3,4
NR_131227,22,14,51,168,25,14,30,44,23,11,15,150,45,24,55,80
NM_020981,14,8,26,76,11,6,19,22,21,11,15,64,33,18,36,34
NM_013233,80,47,68,284,66,38,37,76,42,24,23,227,80,43,70,168
NM_001256126,6857,3428,7552,11671,9513,5119,6966,9315,6126,3513,3530,19916,11454,6061,10962,12895
NR_045787,357,201,422,810,590,306,446,709,318,184,177,1349,542,284,512,1008
NM_021176,0,0,0,1,2,2,3,0,1,0,3,3,0,0,1,12
NM_199204,5,4,2,33,3,2,1,6,1,1,0,14,2,1,3,16
NM_004525,60,29,89,274,51,26,47,95,54,30,36,306,88,47,81,212
NM_152384,90,48,96,199,61,32,26,86,68,38,51,373,120,60,110,177
NM_006063,165,87,184,424,170,90,122,213,155,94,83,609,241,134,256,380
NR_104020,834,419,1017,1995,922,481,698,913,973,560,560,3258,1226,657,1173,1541
NM_004792,1706,844,1926,3500,1689,927,1172,1802,1569,943,924,6280,2436,1264,2276,3276
NM_001085447,190,100,240,597,275,144,222,369,291,160,188,1083,265,155,303,454
NM_001199287,64,35,69,174,70,47,37,139,79,50,41,502,118,57,84,285
NR_144936,567,294,566,1109,706,396,467,785,613,358,334,2087,680,359,575,1314
NM_003142,367,176,416,836,387,190,311,456,497,283,278,1666,500,275,459,715
NM_001293186,378,191,389,986,376,199,281,516,439,257,284,1886,521,292,524,853
NM_172070,2497,1286,2803,5224,2672,1394,1926,2687,2659,1510,1569,10334,3398,1821,3263,3924
NR_045683,842,402,898,1658,667,355,494,651,480,255,336,1773,1228,665,1273,1602
NR_110576,16,8,26,16,22,15,10,6,18,10,5,14,19,12,15,37
NR_110185,137,63,156,246,129,70,83,108,122,69,92,279,160,79,153,208
NR_110644,1,0,2,11,0,0,0,6,1,1,0,13,8,3,4,8
NM_001289947,2,0,8,24,7,3,9,11,1,1,0,41,5,2,5,11
NM_013445,66,36,43,121,10,5,11,13,23,12,11,104,50,23,34,50
NM_000817,86,48,62,187,14,8,13,28,45,23,25,153,83,37,64,94
NM_001201428,1723,867,1895,3245,1474,776,1097,1725,1744,1022,958,6127,2102,1114,1952,2744
NM_001136554,9245,4614,10106,19921,8903,4657,6729,11418,9899,5708,5785,39862,11955,6257,11847,15560
NM_024770,4076,2094,4580,9916,3643,1909,2730,5165,4122,2374,2389,20245,5014,2645,4885,7455
NR_028482,852,420,966,1931,957,502,681,1054,837,485,448,3408,1018,551,1003,1377
NM_001256909,1102,557,1322,2720,1888,1008,1360,1794,1311,746,792,5602,1736,884,1790,2356
NM_001271790,1037,531,1152,2088,988,532,705,1070,1028,581,570,3302,1258,659,1204,1525
NR_047549,1754,872,2039,3706,1814,927,1386,2214,1617,938,972,5463,2144,1096,2073,2903
NR_027862,726,385,821,1547,716,387,566,922,790,442,483,3115,1010,533,994,1378
NM_001322279,374,178,436,722,398,219,298,427,429,226,263,1216,492,263,473,817
NM_178120,2,1,1,25,1,0,1,6,4,3,7,2,6,2,3,11
NM_004405,4,3,1,16,1,0,3,6,0,0,0,13,5,1,6,26
NR_126376,3,1,2,22,3,0,4,3,0,0,0,11,3,2,5,6
NM_001316306,448,217,525,1273,677,351,502,794,739,465,437,2174,864,461,795,1724
NR_103731,2350,1188,2693,6809,2840,1489,2097,3199,3017,1772,1727,12315,4730,2469,4777,6301
NR_103729,1031,521,1133,3235,1349,684,993,1405,1414,849,788,6341,2274,1167,2374,2763
NR_026995,8,4,9,42,2,2,0,4,10,9,5,32,8,4,7,35
NM_007023,86,43,90,438,112,60,80,168,98,60,59,450,150,73,117,270
NM_133646,606,302,740,1563,1246,632,955,1282,1157,644,677,4143,1619,876,1560,1950
NR_033882,296,157,317,754,551,291,439,600,550,303,324,1790,708,371,679,829
NM_145810,119,61,140,273,190,94,153,186,257,151,146,895,136,69,145,457
NM_001017371,3137,1562,3503,6431,3300,1734,2569,3703,3231,1862,1930,11625,3956,2062,3882,5480
NM_003111,2881,1432,3193,5871,3022,1590,2344,3429,2983,1720,1749,10574,3535,1852,3511,5001
NM_001328688,2992,1546,3312,5530,4135,2156,3027,4026,3213,1895,1791,9533,4716,2431,4616,5425
NR_038897,8,3,2,4,5,2,5,5,0,0,0,8,1,1,13,1
NM_001145250,4,1,0,9,2,1,1,0,0,0,0,17,0,0,0,3
NM_004882,987,487,1086,2018,891,484,701,943,970,521,548,4093,1231,652,1229,1585
NM_001193528,358,187,353,736,274,156,206,356,351,204,192,1151,423,223,375,487
NM_001267051,339,175,394,924,450,245,371,479,401,229,214,1404,708,360,687,855
NM_001077269,4620,2285,5017,10370,5336,2776,3903,6407,4637,2666,2570,15607,6389,3350,6168,9522
NM_000079,2,0,3,10,4,1,1,4,7,3,2,17,6,3,11,20
NM_001025201,64,29,85,266,57,27,63,88,41,23,28,291,100,50,95,229
NM_001256091,2183,1109,2507,4537,2353,1232,1730,2662,2290,1300,1338,8145,3394,1733,3249,3720
NR_045774,2183,1109,2507,4535,2353,1232,1730,2662,2290,1300,1338,8145,3392,1732,3247,3718
NM_001002258,305,144,290,611,265,131,180,334,316,173,184,1274,338,184,343,632
NR_130941,1053,509,1085,2427,1057,516,873,1178,1225,705,697,4699,1693,900,1562,2017
NM_001305009,1026,494,1052,2385,1029,504,857,1128,1207,692,685,4636,1638,871,1498,1962
NM_001080458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000523,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
NM_002148,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NR_148241,0,0,0,2,0,0,0,0,2,0,0,0,3,2,2,1
NM_006898,1,1,0,3,0,0,0,0,0,0,0,2,2,0,1,9
NR_033979,0,0,1,14,1,0,1,3,2,1,4,55,3,3,4,6
NM_001319097,1094,566,1114,1927,942,510,746,1041,1119,685,640,3712,1371,722,1264,1577
NR_040001,2,1,0,14,0,0,2,3,0,0,0,16,8,5,5,6
