Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NM_014874,829,409,810,1832,1024,547,731,1049,758,442,416,2982,1132,590,1022,2060
NM_021933,186,91,167,580,377,187,247,436,250,155,121,1056,439,253,380,851
NM_001243,6236,3119,6634,16307,12857,6700,9500,13298,6874,3880,4020,22898,12648,6590,11799,22207
NM_001066,1139,535,1304,2805,1195,640,849,1893,1311,773,714,5504,2472,1285,2476,5676
NM_018156,1803,929,1898,3684,1903,1032,1361,2279,1504,871,911,5469,2674,1483,2479,3729
NM_004753,44,26,45,110,55,23,42,63,35,18,29,121,234,126,210,180
NM_001013630,9,4,11,23,4,4,1,19,2,1,3,35,16,9,10,23
NM_001103170,2,1,0,13,3,1,2,3,2,2,1,15,1,1,1,19
NR_111984,2,1,0,13,3,1,2,3,2,2,1,15,1,1,1,19
NM_001330361,3,2,1,13,7,3,8,4,0,0,1,9,3,2,3,17
NM_001080830,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
NM_023013,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,5
NM_001146344,3,2,2,12,6,2,3,2,0,0,1,4,3,1,2,7
NM_001009611,0,0,1,7,4,0,0,0,0,0,0,5,1,1,0,0
NM_001012277,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0
NR_111945,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010890,2,1,1,5,1,0,0,1,0,0,1,1,0,0,0,1
NM_001291380,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
NM_001099850,2,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1
NM_001012276,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
NM_001098376,0,0,1,13,1,0,0,1,0,0,1,2,1,1,1,0
NM_001024661,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,2
NM_001099790,2,1,1,5,0,0,0,1,0,0,0,1,2,0,0,0
NM_001099852,4,1,3,45,3,0,4,11,3,2,3,32,11,1,7,32
NM_001010847,16,7,10,43,10,5,8,23,7,2,2,53,14,5,9,27
NM_198389,17,9,13,47,10,5,6,14,13,8,5,88,15,7,16,21
NM_001135610,7376,3770,8196,16242,8570,4511,6328,9812,7427,4233,4254,28515,10269,5372,9937,17158
NM_015866,4932,2514,5570,10455,5753,3052,4210,5889,5022,2841,2819,18335,7001,3652,6757,10506
NM_001007257,3103,1566,3564,6617,3887,2054,2823,4086,3169,1785,1802,11286,4562,2382,4422,7412
NR_149058,67,30,76,140,44,25,38,50,60,35,32,231,65,34,43,91
NM_001370230,1284,644,1378,2761,4882,2540,3671,6207,1089,639,682,3136,8939,4711,8608,5315
NR_027136,27,14,26,78,27,14,17,46,25,16,16,97,93,45,79,126
