Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NR_104620,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,4
NR_146202,12,4,19,37,26,16,16,24,16,7,7,61,24,17,21,87
NM_001195563,10,2,19,39,24,14,15,21,16,7,7,60,22,15,22,94
NR_146199,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
NM_004781,6,4,9,14,9,4,5,11,16,8,7,11,19,7,22,15
NM_001289864,3,1,3,16,0,0,1,20,2,2,1,29,7,4,8,13
NM_001289862,3,1,6,18,0,0,2,11,2,2,1,37,7,5,9,20
NM_021995,0,0,0,2,1,0,1,2,0,0,1,1,0,0,0,6
NM_001561,4,2,6,14,3,2,2,7,7,6,1,8,10,8,11,12
NM_001123377,80,52,64,110,74,40,67,136,59,34,39,124,131,78,121,187
NM_007262,79,52,60,111,76,44,67,135,58,32,35,131,128,76,118,183
NM_018948,6,3,6,7,3,1,6,27,3,2,0,33,3,2,9,26
NR_125998,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0
NM_001080397,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0
NM_001042681,38,17,51,96,54,26,51,110,46,23,17,198,60,31,86,153
NR_125999,21,10,39,65,29,16,16,31,13,7,5,115,26,9,30,77
NM_001353346,87,47,93,204,127,65,83,215,97,54,70,385,166,101,173,375
NM_001270500,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2
NM_207420,0,0,0,2,2,2,1,0,1,1,0,9,0,0,0,0
NM_001328619,13,9,10,17,1,0,5,7,2,2,0,22,2,2,1,3
NM_001135585,121,59,109,114,75,45,60,95,80,52,43,201,121,58,95,153
NM_024980,12,5,10,36,4,3,8,17,0,0,0,28,19,11,16,20
NR_132742,39,18,53,175,59,30,51,103,43,25,19,250,137,72,122,256
NR_132738,46,21,76,180,64,32,57,108,54,33,20,235,157,84,142,235
NM_004285,45,19,32,77,49,26,42,107,19,11,19,117,42,25,46,120
NM_025106,2,1,4,9,11,7,10,13,3,3,1,14,8,6,11,35
NR_104622,28,13,18,52,41,27,27,45,32,19,17,71,49,25,45,44
NM_032315,30,16,29,100,43,17,32,80,23,10,21,132,61,36,48,139
NM_001010866,8,3,11,50,19,9,14,30,13,6,19,69,18,7,16,76
NM_005026,69,33,96,365,141,72,99,176,75,41,48,345,118,61,122,528
NR_126367,67,37,55,200,72,35,57,160,56,30,26,276,70,37,92,314
NM_001350235,74,40,95,211,119,67,87,153,69,31,45,155,173,85,153,251
NM_001009566,8,4,12,19,13,9,12,11,3,2,3,7,0,0,4,54
NM_001012329,4,3,9,24,7,6,12,23,8,4,5,42,12,6,31,31
NM_001316975,68,36,68,107,109,49,80,151,66,36,42,205,164,80,141,135
NM_001297778,47,22,55,112,88,44,64,76,61,34,32,167,80,40,89,100
NM_001297779,61,32,64,98,122,54,78,148,72,39,46,205,169,86,138,128
NR_158969,12,9,22,52,23,11,12,38,16,10,8,30,42,19,36,58
NM_052960,0,0,0,6,2,2,1,5,0,0,0,4,1,0,1,5
NM_006048,13,3,21,68,31,24,15,59,19,10,10,144,72,41,57,100
NM_183416,5,3,6,24,11,3,4,17,6,4,4,35,8,5,6,38
NM_015074,4,3,7,31,5,2,2,16,6,4,4,41,8,4,6,37
NM_002631,23,8,18,35,20,7,17,50,14,5,5,83,18,7,33,76
