Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_198545,33,11,38,67,29,20,26,24,32,20,17,171,49,24,56,102
NM_001040195,67,39,75,231,97,44,72,125,68,46,41,265,121,69,93,291
NM_020350,66,39,73,231,97,44,72,123,68,46,41,265,121,69,93,291
NM_001010881,206,109,207,675,222,118,168,400,237,125,122,1081,266,152,270,751
NM_005957,597,284,634,1900,744,354,480,881,717,385,393,3100,689,360,696,1694
NM_001256959,1119,552,1186,2645,1084,570,810,1326,1089,607,654,3892,1403,755,1288,2582
NM_001286,1108,546,1174,2629,1079,567,802,1321,1081,604,652,3877,1397,751,1282,2582
NR_037806,154,74,146,464,181,97,145,229,171,107,92,817,249,123,233,469
NM_138346,152,73,185,426,96,50,82,148,169,100,99,727,165,87,180,428
NM_000302,654,322,679,1384,676,337,471,813,657,380,325,2025,1079,566,950,1851
NM_014874,805,400,778,1714,951,506,666,978,704,406,389,2811,1055,548,954,1866
NM_021933,160,76,136,491,322,163,206,357,190,115,102,946,335,197,308,675
NM_001243,6028,3021,6427,15837,12592,6570,9297,12929,6691,3769,3905,22210,12274,6397,11422,21471
NM_001066,1053,487,1157,2414,1090,582,769,1667,1157,679,656,4790,2225,1141,2221,4876
NM_018156,1793,925,1879,3656,1880,1018,1339,2251,1487,859,903,5418,2654,1473,2458,3663
NM_004753,42,24,44,106,44,19,34,62,33,16,29,113,229,122,201,169
NM_001013630,9,4,11,23,4,4,1,19,2,1,3,35,16,9,10,22
NM_001103170,2,1,0,13,3,1,2,3,2,2,1,15,1,1,1,19
NR_111984,2,1,0,13,3,1,2,3,2,2,1,15,1,1,1,19
NM_001330361,3,2,1,12,7,3,8,4,0,0,1,3,3,2,3,16
NM_001080830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
NM_023013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
NM_001146344,3,2,2,10,4,2,2,1,0,0,1,1,3,1,2,7
NM_001009611,0,0,1,7,0,0,0,0,0,0,0,2,1,1,0,0
NM_001012277,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0
NR_111945,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010890,2,1,1,3,0,0,0,0,0,0,1,1,0,0,0,1
NM_001291380,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
NM_001099850,2,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1
NM_001012276,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
NM_001098376,0,0,1,12,0,0,0,1,0,0,1,1,1,1,1,0
NM_001024661,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2
NM_001099790,2,1,1,5,0,0,0,1,0,0,0,1,2,0,0,0
NM_001099852,4,1,3,41,2,0,3,11,3,2,3,32,9,1,3,31
NM_001010847,16,7,10,42,10,5,8,23,7,2,2,53,14,5,9,27
NM_198389,17,9,13,47,10,5,6,14,13,8,5,88,15,7,16,21
NM_001135610,7314,3743,8131,16009,8509,4479,6284,9657,7356,4192,4219,28140,10162,5316,9819,16833
NM_015866,4862,2474,5495,10356,5691,3017,4162,5831,4970,2812,2784,18034,6891,3586,6630,10428
NM_001007257,3007,1508,3455,6251,3747,1979,2723,3872,3080,1734,1743,10894,4381,2282,4248,6945
NR_149058,66,30,75,140,44,25,38,49,60,35,32,231,65,34,43,91
NM_001370230,1283,643,1377,2748,4878,2538,3669,6183,1087,639,682,3109,8914,4700,8572,5277
NR_027136,27,14,26,76,27,14,17,44,25,16,16,94,78,37,70,120
NM_001136217,184,109,238,282,139,68,115,152,136,73,83,415,1041,574,950,718
NM_001278502,22,17,29,35,15,9,20,30,19,11,15,34,108,57,112,95
NM_052929,78,38,94,305,76,38,64,122,77,41,35,374,188,91,186,240
NR_148919,6,0,2,20,10,4,15,8,6,3,3,28,6,1,8,21
NM_024329,269,142,264,618,494,245,411,594,292,175,165,986,477,256,444,1124
NM_007272,11,5,10,15,3,2,1,1,1,1,2,37,7,3,11,26
NM_033440,18,14,18,51,8,2,9,16,9,3,9,61,33,22,28,53
NM_015849,81,51,97,241,54,23,42,77,69,42,58,314,122,59,91,209
NM_032996,324,170,324,634,228,112,138,306,354,205,193,1041,347,181,368,526
NM_001287811,629,285,684,1380,611,326,452,664,614,374,348,2373,912,478,789,1271
NM_024758,239,122,263,489,249,135,163,264,239,137,120,795,253,131,242,558
NM_032341,1277,645,1404,2151,934,493,746,1258,1011,578,561,3553,1403,767,1337,2320
NM_015164,1022,521,1044,2524,1014,509,739,1211,879,494,445,3501,1405,712,1356,2683
NM_207348,45,17,51,82,59,31,51,67,20,12,15,126,65,31,85,162
NR_149050,22,16,23,50,29,15,18,33,11,5,9,26,34,16,33,94
NM_001013641,2,0,3,7,4,2,3,4,3,1,3,7,4,2,4,8
NM_001350151,12,3,17,55,16,7,11,22,17,13,15,102,12,9,13,50
NM_001024215,2,0,7,10,4,2,0,10,2,1,3,31,6,4,10,17
NR_024279,270,118,313,663,306,154,208,509,299,181,148,1401,425,229,409,941
NM_015001,2604,1292,2903,5781,3245,1670,2491,3481,2798,1641,1636,9882,3479,1776,3322,5194
NM_001287604,770,400,786,1910,864,450,612,1084,861,492,461,3078,1071,582,983,2216
NM_178840,3,1,2,2,8,2,3,9,0,0,0,2,5,2,3,0
NM_001349682,7,6,8,40,7,3,3,4,12,4,7,111,27,17,24,34
NM_001042704,27,11,26,106,29,16,20,38,11,5,6,99,96,48,88,145
NM_000085,18,10,3,19,9,3,5,5,7,5,3,14,18,13,19,22
NM_182623,4,3,4,13,2,2,1,0,9,7,1,14,3,1,5,10
NM_001329090,10,5,12,35,15,9,14,21,4,2,2,42,16,9,8,29
NM_153213,153,81,104,271,62,37,42,78,104,62,67,341,134,71,151,280
NM_030907,4,3,10,44,9,5,5,15,15,9,5,99,14,11,16,36
NM_018994,2091,1077,2302,5012,2161,1101,1712,2451,2000,1109,1246,7447,3374,1800,3184,4615
NM_001271869,1182,606,1265,2688,1650,928,1140,1648,1181,700,725,4405,1523,782,1489,2762
NR_148413,748,373,834,2023,1064,578,743,1223,756,442,492,2758,1024,542,981,2484
NM_001145278,573,295,622,1448,898,467,665,890,535,309,322,2356,844,441,771,1233
NM_018090,570,293,620,1439,890,464,662,889,530,307,321,2347,835,436,760,1228
NR_147210,359,177,371,904,482,263,354,617,307,165,219,1429,514,275,499,821
NR_023386,410,198,473,1023,577,314,407,742,285,168,205,1385,543,270,528,1084
NM_017940,1008,495,1024,2470,781,426,558,1000,856,473,482,2806,875,456,934,1916
NR_026752,433,230,450,869,418,214,252,492,477,280,257,1454,497,243,498,1060
NR_027504,106,47,104,259,67,29,39,81,55,36,38,332,97,52,91,235
NR_026567,8,5,11,72,10,3,10,8,4,3,2,46,8,6,5,31
NM_001271733,140,68,145,344,103,42,58,139,115,68,66,510,147,83,143,324
NM_014675,197,109,219,513,175,107,103,257,214,132,132,703,236,123,280,650
NM_001135247,6,4,4,22,3,3,4,6,9,7,5,36,7,4,7,52
NM_022089,127,66,135,365,249,119,213,331,133,88,59,549,258,127,277,622
NM_003000,622,305,665,1300,572,307,449,632,530,292,314,1987,689,348,737,1190
NM_007365,34,14,28,168,68,37,55,116,43,16,18,188,112,57,127,367
NR_148993,1,1,2,2,2,0,0,2,0,0,1,1,4,2,5,0
NR_137288,151,82,145,577,87,43,84,119,156,83,79,536,175,99,171,427
NM_001011722,93,52,84,386,52,23,49,90,88,44,50,369,123,72,116,310
NM_030812,14,8,19,55,13,9,6,5,9,5,6,32,10,3,6,18
NR_125946,0,0,2,4,0,0,0,0,0,0,0,15,0,0,0,0
NM_032880,39,16,40,217,81,47,51,279,117,73,73,479,95,49,89,372
NM_152375,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
NM_013945,9,3,14,104,13,8,8,21,10,5,4,83,14,4,28,47
NM_152232,5,3,6,26,0,0,2,6,2,0,1,4,3,1,2,7
NM_001319218,201,97,198,378,303,169,199,306,145,81,73,395,288,146,246,459
NM_001136265,875,419,988,2483,1142,617,802,1546,863,490,473,3731,1302,661,1247,2767
NM_020765,5684,2792,6179,11666,5820,3074,4266,6132,4800,2737,2797,16646,7755,4038,7323,12587
NR_135115,749,363,810,1528,736,387,539,858,794,469,445,2595,989,538,932,1532
NM_015047,987,475,1033,2072,1039,546,778,1220,999,583,554,3216,1320,721,1232,2263
NM_016183,214,109,276,401,320,180,223,315,229,137,119,832,237,133,244,706
NM_001348421,18,9,24,45,17,6,16,22,21,16,13,38,28,15,19,42
NM_012067,19,9,21,52,22,7,15,43,18,7,23,72,16,12,21,56
NM_001320979,160,80,154,298,138,77,107,135,150,95,93,587,169,91,147,340
NM_001040125,384,191,405,963,375,190,275,501,336,181,164,1313,384,186,375,928
NM_001206541,4179,2068,4470,8077,5172,2717,3738,6083,3445,1948,1999,10570,5532,2876,5286,10667
NR_135054,24,11,23,38,18,5,11,17,16,12,2,118,19,9,16,33
NM_001204082,1094,558,1280,2151,1010,569,727,1077,1121,660,615,3254,1248,684,1178,1855
NM_001032363,1094,558,1280,2151,1010,569,727,1077,1121,660,615,3254,1248,684,1178,1855
NM_001278164,26,16,26,43,32,16,22,27,8,6,9,50,46,20,39,135
NM_000871,125,58,120,216,57,34,40,99,90,52,48,288,121,60,123,362
NM_001349114,884,467,991,1906,848,475,640,709,897,484,530,2843,974,506,937,2498
NM_001349115,515,261,557,982,467,263,342,381,547,292,322,1497,587,300,537,1264
NM_015207,335,171,357,896,362,193,239,451,387,224,230,1504,443,250,402,758
NM_014589,3,2,3,13,4,3,4,7,3,2,3,14,5,2,3,3
NM_001161729,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161727,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000929,23,10,28,54,24,15,11,31,17,13,9,48,40,21,31,56
NM_012400,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,7
NM_001271814,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5
NM_001360869,3,1,1,8,0,0,2,0,3,1,2,17,2,0,3,26
NM_001367969,4,2,4,20,10,5,8,7,5,4,2,43,32,22,23,88
NM_152376,4,0,1,7,3,1,2,0,2,0,1,12,5,2,3,18
NM_001039500,30,15,39,136,68,36,56,70,155,81,81,619,46,20,37,122
NR_033887,5,3,2,56,11,8,9,12,8,3,8,36,6,2,12,30
NM_018584,1,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0
NM_024544,105,46,142,346,88,46,77,145,110,64,57,646,127,60,106,250
NM_001785,11,7,22,42,15,9,3,27,8,5,6,80,20,9,29,35
NM_032409,368,170,433,992,455,227,316,656,345,195,203,1198,472,251,379,1096
NR_046507,320,152,371,914,428,212,292,592,309,173,169,1071,428,229,355,1000
NM_005216,333,146,391,691,333,176,254,388,325,181,191,1310,383,190,366,802
NM_001122819,18,10,20,93,23,18,12,23,17,12,4,129,45,24,36,64
NM_001103160,17,8,19,41,19,8,16,14,11,7,5,65,21,12,13,46
NM_016287,1313,681,1460,2791,1492,784,1173,1420,1472,856,881,6014,1748,908,1667,2278
NM_001198801,6713,3280,7436,12585,6661,3446,4983,6322,6091,3492,3450,16869,9073,4657,8864,10521
NM_001198803,4252,2107,4578,7348,4212,2170,3139,3977,3773,2190,2155,9657,5775,3005,5580,6270
NM_001113348,1859,967,2074,4725,2244,1147,1728,1980,1689,972,928,4776,1314,663,1304,4789
NR_038404,108,57,123,205,127,78,93,137,66,37,39,280,62,34,72,273
NR_046176,267,137,270,558,119,73,87,92,140,78,75,409,111,57,122,206
NM_001369805,20,6,21,125,22,15,24,36,11,5,2,151,25,15,22,86
NM_001350528,122,59,119,317,129,65,95,120,178,99,107,769,224,115,230,465
NM_001350168,5633,2819,6468,11877,6763,3592,5031,7248,7331,4158,4295,30335,9222,4878,8723,12719
NM_001330394,5621,2812,6446,11863,6747,3589,5020,7242,7289,4136,4277,30277,9189,4861,8699,12686
NM_001013693,34,18,42,105,22,15,21,42,49,31,38,335,118,66,101,352
